iter	Passed	Remaining
0	2	208
1	3	191
2	5	182
3	6	167
4	8	164
5	10	161
6	12	162
7	13	160
8	15	157
9	17	155
10	19	154
11	20	152
12	22	149
13	24	147
14	25	145
15	27	143
16	29	142
17	30	140
18	32	138
19	34	136
20	35	134
21	37	132
22	39	130
23	40	129
24	42	127
25	44	125
26	45	123
27	47	122
28	49	120
29	51	119
30	52	117
31	54	115
32	56	114
33	58	112
34	59	111
35	61	109
36	63	107
37	65	106
38	66	104
39	68	102
40	70	101
41	71	98
42	73	96
43	74	95
44	76	93
45	78	91
46	80	90
47	81	88
48	83	86
49	85	85
50	86	83
51	88	81
52	90	80
53	91	78
54	93	76
55	94	74
56	96	72
57	98	71
58	99	69
59	101	67
60	103	66
61	105	64
62	107	62
63	108	61
64	110	59
65	112	57
66	114	56
67	115	54
68	117	52
69	118	50
70	120	49
71	122	47
72	124	45
73	125	44
74	127	42
75	129	40
76	131	39
77	133	37
78	136	36
79	138	34
80	140	32
81	142	31
82	144	29
83	146	27
84	148	26
85	150	24
86	152	22
87	154	21
88	157	19
89	159	17
90	161	15
91	163	14
92	166	12
93	168	10
94	170	8
95	172	7
96	174	5
97	176	3
98	178	1
99	180	0
