iter	Passed	Remaining
0	157	157779
1	162	81202
2	166	55395
3	169	42302
4	172	34394
5	175	29006
6	176	25097
7	178	22159
8	180	19865
9	181	17998
10	183	16460
11	184	15216
12	186	14135
13	187	13196
14	188	12374
15	189	11656
16	190	11034
17	191	10474
18	193	9970
19	194	9508
20	195	9092
21	195	8712
22	197	8371
23	198	8062
24	199	7766
25	199	7490
26	200	7235
27	201	6998
28	202	6778
29	203	6574
30	204	6390
31	205	6208
32	206	6038
33	206	5876
34	207	5723
35	208	5578
36	209	5441
37	209	5311
38	210	5193
39	211	5076
40	212	4968
41	213	4862
42	213	4760
43	214	4662
44	215	4569
45	216	4480
46	216	4396
47	217	4318
48	218	4243
49	219	4171
50	220	4098
51	221	4029
52	221	3964
53	222	3899
54	223	3838
55	224	3779
56	224	3721
57	225	3666
58	226	3616
59	227	3566
60	228	3516
61	229	3468
62	230	3421
63	230	3376
64	231	3333
65	232	3292
66	233	3250
67	234	3214
68	235	3174
69	236	3135
70	236	3098
71	237	3062
72	238	3026
73	239	2992
74	239	2959
75	241	2930
76	241	2899
77	242	2867
78	243	2836
79	244	2807
80	244	2779
81	245	2751
82	246	2720
83	247	2696
84	248	2670
85	248	2645
86	249	2621
87	250	2596
88	251	2573
89	252	2550
90	253	2527
91	253	2505
92	254	2485
93	255	2465
94	256	2445
95	257	2425
96	258	2406
97	259	2386
98	260	2366
99	260	2347
100	261	2332
101	262	2314
102	263	2296
103	264	2278
104	265	2261
105	266	2244
106	266	2227
107	267	2210
108	268	2194
109	269	2178
110	270	2164
111	271	2150
112	272	2136
113	273	2122
114	273	2108
115	274	2093
116	275	2078
117	276	2066
118	277	2054
119	278	2042
120	279	2029
121	280	2015
122	281	2003
123	281	1991
124	282	1979
125	283	1967
126	284	1954
127	285	1944
128	286	1934
129	287	1923
130	288	1913
131	289	1904
132	290	1894
133	291	1885
134	292	1875
135	293	1864
136	294	1854
137	295	1843
138	295	1833
139	296	1823
140	297	1812
141	298	1801
142	298	1791
143	299	1783
144	300	1773
145	301	1764
146	302	1754
147	303	1745
148	304	1736
149	304	1727
150	305	1720
151	306	1712
152	307	1704
153	308	1695
154	309	1687
155	310	1679
156	311	1671
157	312	1663
158	313	1655
159	314	1648
160	314	1640
161	315	1633
162	316	1625
163	317	1618
164	318	1611
165	319	1604
166	320	1597
167	321	1591
168	322	1585
169	323	1578
170	324	1571
171	324	1564
172	325	1557
173	326	1550
174	327	1543
175	328	1536
176	329	1531
177	330	1525
178	331	1519
179	332	1513
180	333	1507
181	334	1501
182	335	1496
183	336	1491
184	337	1484
185	338	1479
186	338	1473
187	339	1467
188	340	1461
189	341	1455
190	342	1449
191	343	1444
192	344	1439
193	345	1434
194	346	1428
195	346	1423
196	347	1417
197	348	1412
198	350	1408
199	350	1403
200	351	1398
201	352	1393
202	353	1388
203	354	1382
204	355	1377
205	356	1372
206	357	1368
207	358	1363
208	359	1359
209	360	1355
210	361	1350
211	362	1345
212	362	1340
213	363	1336
214	364	1332
215	366	1328
216	367	1324
217	367	1319
218	368	1314
219	369	1309
220	370	1304
221	371	1300
222	371	1295
223	372	1290
224	373	1286
225	374	1282
226	375	1278
227	376	1273
228	376	1269
229	377	1265
230	378	1261
231	379	1257
232	380	1253
233	381	1249
234	382	1244
